epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,244.018,1.71133,2.65907,1.57185,0.5063,0.42896,0.41712,0.18334,1.52068,9.78875,1.31826,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,425.285,1.7773,2.03555,1.59261,0.31451,0.3583,0.24766,0.10132,1.70795,18.3675,1.47287,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097
3,603.681,1.8736,2.12698,1.69135,0.2815,0.3336,0.2121,0.08179,1.80472,58.9812,1.67838,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,779.185,1.88871,2.11737,1.71116,0.43714,0.38946,0.3552,0.14676,1.66251,8.86452,1.54249,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,955.473,1.82507,1.99306,1.65793,0.51598,0.45838,0.46234,0.21,1.54335,7.75158,1.381,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1131.33,1.76705,1.86528,1.61264,0.55663,0.50462,0.50672,0.24194,1.46885,4.03597,1.31637,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1306.25,1.73092,1.7935,1.59041,0.55833,0.50931,0.52317,0.25669,1.44259,7.79014,1.32967,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1480.94,1.70116,1.74131,1.56006,0.60016,0.53195,0.56313,0.28128,1.39513,3.81243,1.27188,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1656.35,1.67042,1.68446,1.53612,0.62812,0.54839,0.58545,0.29961,1.39647,3.61697,1.26084,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1831.84,1.65983,1.65416,1.53145,0.60902,0.53485,0.56625,0.29005,1.40415,3.41338,1.28134,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2009.32,1.63802,1.62954,1.51806,0.62534,0.55948,0.59043,0.30131,1.37593,3.47428,1.25561,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2184.47,1.62502,1.58959,1.50431,0.61726,0.55253,0.5891,0.3098,1.34992,4.33352,1.23246,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2362.14,1.60106,1.55033,1.48346,0.62914,0.58577,0.62123,0.32843,1.33831,3.98709,1.22814,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2536.97,1.59037,1.53795,1.47355,0.66665,0.58889,0.63397,0.33943,1.31973,2.31747,1.19909,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
